timestamp,active_agents,avg_cpu_pct,avg_ram_mb,total_reports
2026-03-24 18:44:43,0,0.00,0.00,0
2026-03-24 18:44:53,0,0.00,0.00,0
2026-03-24 18:45:03,0,0.00,0.00,0
2026-03-24 18:45:13,0,0.00,0.00,0
2026-03-24 18:45:23,0,0.00,0.00,0
2026-03-24 18:45:33,0,0.00,0.00,0
2026-03-24 18:45:43,0,0.00,0.00,0
2026-03-24 18:45:53,0,0.00,0.00,0
2026-03-24 18:46:03,0,0.00,0.00,0
2026-03-24 18:46:13,0,0.00,0.00,0
2026-03-24 18:46:23,0,0.00,0.00,0
2026-03-24 18:46:33,0,0.00,0.00,0
2026-03-24 18:46:43,0,0.00,0.00,0
2026-03-24 18:46:53,0,0.00,0.00,0
2026-03-24 18:47:03,0,0.00,0.00,0
2026-03-24 18:47:13,0,0.00,0.00,0
2026-03-24 18:47:23,0,0.00,0.00,0
2026-03-24 18:47:33,0,0.00,0.00,0
2026-03-24 18:47:43,0,0.00,0.00,0
2026-03-24 18:47:53,0,0.00,0.00,0
2026-03-24 18:48:03,0,0.00,0.00,0
2026-03-24 18:48:13,0,0.00,0.00,0
2026-03-24 18:48:23,0,0.00,0.00,0
2026-03-24 18:48:33,0,0.00,0.00,0
2026-03-24 18:48:43,0,0.00,0.00,0
2026-03-24 18:48:53,0,0.00,0.00,0
2026-03-24 18:49:03,0,0.00,0.00,0
2026-03-24 18:49:13,0,0.00,0.00,0
2026-03-24 18:49:23,0,0.00,0.00,0
2026-03-24 18:49:33,0,0.00,0.00,0
2026-03-24 18:49:43,0,0.00,0.00,0
2026-03-24 18:49:53,0,0.00,0.00,0
2026-03-24 18:50:03,0,0.00,0.00,0
2026-03-24 18:50:13,0,0.00,0.00,0
2026-03-24 18:50:23,0,0.00,0.00,0
2026-03-24 18:50:33,0,0.00,0.00,0
2026-03-24 18:50:43,0,0.00,0.00,0
2026-03-24 18:50:53,0,0.00,0.00,0
2026-03-24 18:51:03,0,0.00,0.00,0
2026-03-24 18:51:13,0,0.00,0.00,0
2026-03-24 18:51:23,0,0.00,0.00,0
2026-03-24 18:51:33,0,0.00,0.00,0
2026-03-24 18:51:43,0,0.00,0.00,0
2026-03-24 18:51:53,0,0.00,0.00,0
2026-03-24 18:52:03,0,0.00,0.00,0
2026-03-24 18:52:13,0,0.00,0.00,0
2026-03-24 18:52:23,0,0.00,0.00,0
2026-03-24 18:52:33,0,0.00,0.00,0
2026-03-24 18:52:43,0,0.00,0.00,0
2026-03-24 18:52:53,0,0.00,0.00,0
2026-03-24 18:53:33,0,0.00,0.00,0
2026-03-24 19:00:23,0,0.00,0.00,0
2026-03-24 19:00:33,0,0.00,0.00,0
2026-03-24 19:00:43,0,0.00,0.00,0
2026-03-24 19:00:53,0,0.00,0.00,0
2026-03-24 19:01:03,0,0.00,0.00,0
2026-03-24 19:01:13,0,0.00,0.00,0
2026-03-24 19:01:23,0,0.00,0.00,0
2026-03-24 19:01:33,0,0.00,0.00,0
2026-03-24 19:01:43,0,0.00,0.00,0
2026-03-24 19:01:53,0,0.00,0.00,0
2026-03-24 19:02:03,0,0.00,0.00,0
2026-03-24 19:02:13,0,0.00,0.00,0
2026-03-24 19:02:23,0,0.00,0.00,0
2026-03-24 19:02:33,0,0.00,0.00,0
2026-03-24 19:02:43,0,0.00,0.00,0
2026-03-24 19:02:53,0,0.00,0.00,0
2026-03-24 19:03:03,0,0.00,0.00,0
2026-03-24 19:03:13,0,0.00,0.00,0
2026-03-24 19:03:23,0,0.00,0.00,0
2026-03-24 19:03:33,0,0.00,0.00,0
2026-03-24 19:03:43,0,0.00,0.00,0
2026-03-24 19:03:53,0,0.00,0.00,0
2026-03-24 19:04:03,0,0.00,0.00,0
2026-03-24 19:04:13,0,0.00,0.00,0
2026-03-24 19:04:23,0,0.00,0.00,0
2026-03-24 19:04:33,1,0.00,0.00,0
2026-03-24 19:04:43,1,30.50,1500.00,1
2026-03-24 19:04:53,1,35.70,1570.00,2
2026-03-24 19:05:03,1,59.60,1658.00,3
2026-03-24 19:05:13,1,10.10,1765.00,4
2026-03-24 19:05:23,1,55.40,3719.00,5
2026-03-24 19:05:33,1,11.00,2449.00,6
2026-03-24 19:05:43,1,68.10,3418.00,7
2026-03-24 19:05:53,1,73.70,2994.00,8
2026-03-24 19:06:03,1,41.50,1642.00,9
2026-03-24 19:06:13,1,23.60,2629.00,10
2026-03-24 19:06:23,1,15.10,1259.00,11
2026-03-24 19:06:34,1,76.10,1735.00,12
2026-03-24 19:06:44,1,22.50,3735.00,13
